"","car_ID","price","lower","upper"
"1",14,21925.1124594749,4.22569115383358,4.45619250546759
"2",28,8838.82935683817,3.83042298160019,4.06236651731028
"3",62,10072.9066101361,3.89144661261446,4.11486300229598
"4",70,30075.8194383537,4.35410903762976,4.60232590007694
"5",79,6058.38678292914,3.66859600023526,3.89611799247272
"6",80,7775.7707224162,3.77708260886951,4.00440428399535
"7",90,6771.28166734654,3.717871080895,3.94347067844702
"8",98,6816.03238450759,3.71822974270944,3.94883354767977
"9",101,9606.34579650711,3.87043564077821,4.09468079070503
"10",103,17699.6082429683,4.13184646387738,4.36408084401007
"11",111,17060.151573056,4.11512539475563,4.34884037602923
"12",116,13754.2992898139,4.02320417051515,4.25367276996225
"13",126,23450.7901915921,4.24385517142741,4.49645979091072
"14",132,8951.2727822084,3.79641827838451,4.10735130576447
"15",133,13442.7023718818,4.00697722306711,4.24999594341941
"16",137,17088.9922848983,4.11047085273945,4.35496205467846
"17",144,8930.71733506776,3.83721393303481,4.06455875454065
"18",150,10464.1628920736,3.90439750521042,4.13501147788492
"19",166,9801.11209057571,3.87818411508951,4.10436659698911
"20",184,9250.62119448047,3.85267761982876,4.07966417479022
